company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ADANIPORTS,2019-03,+,-,+,Mixed
ADANIPORTS,2020-03,+,-,-,Shareholder Returns
ADANIPORTS,2021-03,+,-,+,Mixed
ADANIPORTS,2022-03,+,-,-,Shareholder Returns
ADANIPORTS,2023-03,+,-,-,Shareholder Returns
ADANIPORTS,2024-03,+,-,-,Shareholder Returns
ADANIPOWER,2013-03,+,-,+,Mixed
ADANIPOWER,2014-03,+,-,+,Mixed
ADANIPOWER,2015-03,+,-,-,Reinvestor
ADANIPOWER,2016-03,+,-,-,Shareholder Returns
ADANIPOWER,2017-03,+,-,-,Reinvestor
ADANIPOWER,2018-03,+,-,-,Reinvestor
ADANIPOWER,2019-03,+,-,-,Reinvestor
ADANIPOWER,2020-03,+,-,-,Reinvestor
ADANIPOWER,2021-03,+,-,-,Shareholder Returns
ADANIPOWER,2022-03,+,+,-,Liquidating Assets
ADANIPOWER,2023-03,+,+,-,Liquidating Assets
ADANIPOWER,2024-03,+,+,-,Liquidating Assets
AMBUJACEM,2012-12,+,-,-,Shareholder Returns
AMBUJACEM,2013-12,+,-,-,Reinvestor
AMBUJACEM,2014-12,+,-,-,Shareholder Returns
AMBUJACEM,2015-12,+,-,-,Shareholder Returns
AMBUJACEM,2016-12,+,-,-,Shareholder Returns
AMBUJACEM,2017-12,+,-,-,Shareholder Returns
AMBUJACEM,2018-12,+,-,-,Reinvestor
AMBUJACEM,2019-12,+,-,-,Shareholder Returns
AMBUJACEM,2020-12,+,-,-,Shareholder Returns
AMBUJACEM,2021-12,+,-,-,Shareholder Returns
AMBUJACEM,2023-03,+,-,+,Mixed
AMBUJACEM,2024-03,+,-,+,Mixed
APOLLOHOSP,2013-03,+,-,+,Mixed
APOLLOHOSP,2014-03,+,-,-,Shareholder Returns
APOLLOHOSP,2015-03,+,-,+,Mixed
APOLLOHOSP,2016-03,+,-,+,Mixed
APOLLOHOSP,2017-03,+,-,+,Mixed
APOLLOHOSP,2018-03,+,-,-,Shareholder Returns
APOLLOHOSP,2019-03,+,-,-,Shareholder Returns
APOLLOHOSP,2020-03,+,-,-,Shareholder Returns
APOLLOHOSP,2021-03,+,-,-,Shareholder Returns
APOLLOHOSP,2022-03,+,-,-,Shareholder Returns
APOLLOHOSP,2023-03,+,-,-,Shareholder Returns
APOLLOHOSP,2024-03,+,-,-,Shareholder Returns
ASIANPAINT,2013-03,+,-,-,Shareholder Returns
ASIANPAINT,2014-03,+,-,-,Shareholder Returns
ASIANPAINT,2015-03,+,-,-,Reinvestor
ASIANPAINT,2016-03,+,-,-,Shareholder Returns
ASIANPAINT,2017-03,+,-,-,Reinvestor
ASIANPAINT,2018-03,+,-,-,Shareholder Returns
ASIANPAINT,2019-03,+,-,-,Shareholder Returns
ASIANPAINT,2020-03,+,-,-,Shareholder Returns
ASIANPAINT,2021-03,+,-,-,Shareholder Returns
ASIANPAINT,2022-03,+,-,-,Reinvestor
ASIANPAINT,2023-03,+,-,-,Reinvestor
ASIANPAINT,2024-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2013-03,+,-,-,Reinvestor
BAJAJ-AUTO,2014-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2015-03,+,-,-,Reinvestor
BAJAJ-AUTO,2016-03,+,-,-,Reinvestor
BAJAJ-AUTO,2017-03,+,-,-,Reinvestor
BAJAJ-AUTO,2018-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2019-03,+,-,-,Reinvestor
BAJAJ-AUTO,2020-03,+,+,-,Liquidating Assets
BAJAJ-AUTO,2021-03,+,-,-,Reinvestor
BAJAJ-AUTO,2022-03,+,+,-,Liquidating Assets
BAJAJ-AUTO,2023-03,+,+,-,Liquidating Assets
BAJAJ-AUTO,2024-03,+,-,-,Reinvestor
AXISBANK,2013-03,+,-,+,Mixed
AXISBANK,2014-03,+,-,+,Mixed
AXISBANK,2015-03,-,-,+,Growth Funded by Debt
AXISBANK,2016-03,-,+,+,Distress Signal
AXISBANK,2017-03,+,-,-,Shareholder Returns
AXISBANK,2018-03,-,-,+,Growth Funded by Debt
AXISBANK,2019-03,+,-,+,Mixed
AXISBANK,2020-03,+,-,+,Mixed
AXISBANK,2021-03,+,-,+,Mixed
AXISBANK,2022-03,+,-,+,Mixed
AXISBANK,2023-03,+,-,+,Mixed
AXISBANK,2024-03,-,-,+,Growth Funded by Debt
BAJAJFINSV,2013-03,-,+,+,Distress Signal
BAJAJFINSV,2014-03,-,+,+,Distress Signal
BAJAJFINSV,2015-03,-,+,+,Distress Signal
BAJAJFINSV,2016-03,-,-,+,Growth Funded by Debt
BAJAJFINSV,2017-03,-,+,+,Distress Signal
BAJAJFINSV,2018-03,-,-,+,Growth Funded by Debt
BAJAJFINSV,2019-03,-,-,+,Growth Funded by Debt
BAJAJFINSV,2020-03,-,-,+,Growth Funded by Debt
BAJAJFINSV,2021-03,+,-,+,Mixed
BAJAJFINSV,2022-03,-,+,+,Distress Signal
BAJAJFINSV,2023-03,-,-,+,Growth Funded by Debt
BAJAJFINSV,2024-03,-,-,+,Growth Funded by Debt
BAJAJHLDNG,2013-03,+,-,-,Reinvestor
BAJAJHLDNG,2014-03,+,-,-,Reinvestor
BAJAJHLDNG,2015-03,+,-,-,Reinvestor
BAJAJHLDNG,2016-03,+,+,-,Liquidating Assets
BAJAJHLDNG,2017-03,-,-,-,Pre-Revenue
BAJAJHLDNG,2018-03,+,-,-,Reinvestor
BAJAJHLDNG,2019-03,+,-,-,Reinvestor
BAJAJHLDNG,2020-03,+,-,-,Reinvestor
BAJAJHLDNG,2021-03,+,-,-,Reinvestor
BAJAJHLDNG,2022-03,+,-,-,Reinvestor
BAJAJHLDNG,2023-03,+,-,-,Reinvestor
BAJAJHLDNG,2024-03,+,-,-,Reinvestor
BAJFINANCE,2015-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2016-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2017-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2018-03,-,+,+,Distress Signal
BAJFINANCE,2019-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2020-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2021-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2022-03,-,+,+,Distress Signal
BAJFINANCE,2023-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2024-03,-,-,+,Growth Funded by Debt
BANKBARODA,2013-03,+,-,-,Shareholder Returns
BANKBARODA,2014-03,+,-,+,Mixed
BANKBARODA,2015-03,+,-,-,Shareholder Returns
BANKBARODA,2016-03,-,-,-,Pre-Revenue
BANKBARODA,2017-03,+,-,-,Shareholder Returns
BANKBARODA,2018-03,-,-,+,Growth Funded by Debt
BANKBARODA,2019-03,-,-,+,Growth Funded by Debt
BANKBARODA,2020-03,+,-,+,Mixed
BANKBARODA,2021-03,-,-,-,Pre-Revenue
BANKBARODA,2022-03,+,-,-,Reinvestor
BANKBARODA,2023-03,-,-,-,Pre-Revenue
BANKBARODA,2024-03,-,-,+,Growth Funded by Debt
BHARTIARTL,2013-03,+,-,-,Shareholder Returns
BHARTIARTL,2014-03,+,-,+,Mixed
BHARTIARTL,2015-03,+,-,-,Shareholder Returns
BHARTIARTL,2016-03,+,-,-,Shareholder Returns
BHARTIARTL,2017-03,+,-,-,Shareholder Returns
BHARTIARTL,2018-03,+,-,+,Mixed
BHARTIARTL,2019-03,+,-,+,Mixed
BHARTIARTL,2020-03,+,-,+,Mixed
BHARTIARTL,2021-03,+,-,-,Reinvestor
BHARTIARTL,2022-03,+,-,-,Shareholder Returns
BHARTIARTL,2023-03,+,-,-,Shareholder Returns
BHARTIARTL,2024-03,+,-,-,Shareholder Returns
BEL,2013-03,-,+,-,Mixed
BEL,2014-03,-,+,-,Mixed
BEL,2015-03,+,-,-,Shareholder Returns
BEL,2016-03,+,-,-,Shareholder Returns
BEL,2017-03,-,+,-,Mixed
BEL,2018-03,-,-,-,Pre-Revenue
BEL,2019-03,+,-,-,Reinvestor
BEL,2020-03,+,-,-,Shareholder Returns
BEL,2021-03,+,-,-,Shareholder Returns
BEL,2022-03,+,-,-,Shareholder Returns
BEL,2023-03,+,+,-,Liquidating Assets
BEL,2024-03,+,-,-,Shareholder Returns
BHEL,2013-03,+,-,+,Mixed
BHEL,2014-03,+,-,+,Mixed
BHEL,2015-03,+,+,-,Liquidating Assets
BHEL,2016-03,+,+,-,Liquidating Assets
BHEL,2017-03,+,-,-,Shareholder Returns
BHEL,2018-03,+,+,-,Liquidating Assets
BHEL,2019-03,-,+,-,Mixed
BHEL,2020-03,-,+,+,Distress Signal
BHEL,2021-03,+,-,-,Reinvestor
BHEL,2022-03,+,-,-,Shareholder Returns
BHEL,2023-03,-,+,+,Distress Signal
BHEL,2024-03,-,+,+,Distress Signal
BOSCHLTD,2012-12,+,-,-,Reinvestor
BOSCHLTD,2013-12,+,-,-,Shareholder Returns
BOSCHLTD,2015-03,+,-,-,Shareholder Returns
BOSCHLTD,2016-03,+,-,-,Reinvestor
BOSCHLTD,2017-03,+,+,-,Liquidating Assets
BOSCHLTD,2018-03,+,-,-,Shareholder Returns
BOSCHLTD,2019-03,+,+,-,Liquidating Assets
BOSCHLTD,2020-03,+,-,-,Shareholder Returns
BOSCHLTD,2021-03,+,-,-,Shareholder Returns
BOSCHLTD,2022-03,+,-,-,Reinvestor
BOSCHLTD,2023-03,+,+,-,Liquidating Assets
BOSCHLTD,2024-03,+,+,-,Liquidating Assets
BPCL,2013-03,+,-,-,Shareholder Returns
BPCL,2014-03,+,-,-,Shareholder Returns
BPCL,2015-03,+,-,-,Shareholder Returns
BPCL,2016-03,+,-,-,Shareholder Returns
BPCL,2017-03,+,-,+,Mixed
BPCL,2018-03,+,-,-,Shareholder Returns
BPCL,2019-03,+,-,+,Mixed
BPCL,2020-03,+,-,+,Mixed
BPCL,2021-03,+,-,-,Shareholder Returns
BPCL,2022-03,+,-,-,Shareholder Returns
BPCL,2023-03,+,-,-,Shareholder Returns
BPCL,2024-03,+,-,-,Shareholder Returns
BRITANNIA,2013-03,+,+,-,Liquidating Assets
BRITANNIA,2014-03,+,-,-,Shareholder Returns
BRITANNIA,2015-03,+,-,-,Reinvestor
BRITANNIA,2016-03,+,-,-,Shareholder Returns
BRITANNIA,2017-03,+,-,-,Reinvestor
BRITANNIA,2018-03,+,-,-,Shareholder Returns
BRITANNIA,2019-03,+,-,-,Shareholder Returns
BRITANNIA,2020-03,+,-,+,Mixed
BRITANNIA,2021-03,+,+,-,Liquidating Assets
BRITANNIA,2022-03,+,+,-,Liquidating Assets
BRITANNIA,2023-03,+,-,-,Shareholder Returns
BRITANNIA,2024-03,+,+,-,Liquidating Assets
CANBK,2013-03,+,-,-,Shareholder Returns
CANBK,2014-03,+,-,-,Shareholder Returns
CANBK,2015-03,+,-,-,Shareholder Returns
CANBK,2016-03,+,-,-,Reinvestor
CANBK,2017-03,+,-,+,Mixed
CANBK,2018-03,-,-,+,Growth Funded by Debt
CANBK,2019-03,+,-,-,Shareholder Returns
CANBK,2020-03,-,-,+,Growth Funded by Debt
CANBK,2021-03,+,-,+,Mixed
CANBK,2022-03,+,-,+,Mixed
CANBK,2023-03,-,-,+,Growth Funded by Debt
CANBK,2024-03,+,-,-,Reinvestor
CHOLAFIN,2013-03,-,+,+,Distress Signal
CHOLAFIN,2014-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2015-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2016-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2017-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2018-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2019-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2020-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2021-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2022-03,-,+,+,Distress Signal
CHOLAFIN,2023-03,-,-,+,Growth Funded by Debt
CHOLAFIN,2024-03,-,-,+,Growth Funded by Debt
CIPLA,2013-03,+,-,+,Mixed
CIPLA,2014-03,+,-,-,Shareholder Returns
CIPLA,2015-03,+,-,+,Mixed
CIPLA,2016-03,+,-,+,Mixed
CIPLA,2017-03,+,-,-,Shareholder Returns
CIPLA,2018-03,+,-,-,Shareholder Returns
CIPLA,2019-03,+,-,-,Shareholder Returns
CIPLA,2020-03,+,+,-,Liquidating Assets
CIPLA,2021-03,+,-,-,Shareholder Returns
CIPLA,2022-03,+,-,-,Shareholder Returns
CIPLA,2023-03,+,-,-,Shareholder Returns
CIPLA,2024-03,+,-,-,Reinvestor
COALINDIA,2013-03,+,-,-,Reinvestor
COALINDIA,2014-03,+,+,-,Liquidating Assets
COALINDIA,2015-03,+,+,-,Liquidating Assets
COALINDIA,2016-03,+,+,-,Liquidating Assets
COALINDIA,2017-03,+,+,-,Liquidating Assets
COALINDIA,2018-03,+,-,-,Shareholder Returns
COALINDIA,2019-03,+,-,-,Reinvestor
COALINDIA,2020-03,+,+,-,Liquidating Assets
COALINDIA,2021-03,+,+,-,Liquidating Assets
COALINDIA,2022-03,+,-,-,Shareholder Returns
COALINDIA,2023-03,+,-,-,Shareholder Returns
COALINDIA,2024-03,+,-,-,Reinvestor
DABUR,2013-03,+,-,-,Shareholder Returns
DABUR,2014-03,+,-,-,Shareholder Returns
DABUR,2015-03,+,-,-,Reinvestor
DABUR,2016-03,+,-,-,Reinvestor
DABUR,2017-03,+,-,-,Reinvestor
DABUR,2018-03,+,-,-,Reinvestor
DABUR,2019-03,+,+,-,Liquidating Assets
DABUR,2020-03,+,-,-,Shareholder Returns
DABUR,2021-03,+,-,-,Shareholder Returns
DABUR,2022-03,+,-,-,Shareholder Returns
DABUR,2023-03,+,-,-,Reinvestor
DABUR,2024-03,+,-,-,Shareholder Returns
DIVISLAB,2013-03,+,-,-,Reinvestor
DIVISLAB,2014-03,+,-,-,Reinvestor
DIVISLAB,2015-03,+,-,-,Reinvestor
DIVISLAB,2016-03,+,-,-,Reinvestor
DIVISLAB,2017-03,+,-,+,Mixed
DIVISLAB,2018-03,+,-,-,Reinvestor
DIVISLAB,2019-03,+,-,-,Reinvestor
DIVISLAB,2020-03,+,-,-,Reinvestor
DIVISLAB,2021-03,+,+,-,Liquidating Assets
DIVISLAB,2022-03,+,-,-,Reinvestor
DIVISLAB,2023-03,+,-,-,Shareholder Returns
DIVISLAB,2024-03,+,-,-,Reinvestor
DLF,2013-03,+,+,-,Liquidating Assets
DLF,2014-03,+,+,-,Liquidating Assets
DLF,2015-03,+,+,-,Liquidating Assets
DLF,2016-03,+,-,-,Shareholder Returns
DLF,2017-03,-,+,+,Distress Signal
DLF,2018-03,+,-,-,Reinvestor
DLF,2019-03,+,+,+,Cash Accumulator
DLF,2020-03,+,+,-,Liquidating Assets
DLF,2021-03,+,+,-,Liquidating Assets
DLF,2022-03,+,+,-,Liquidating Assets
DLF,2023-03,+,-,-,Shareholder Returns
DLF,2024-03,+,-,+,Mixed
DMART,2013-03,+,-,+,Mixed
DMART,2014-03,+,-,+,Mixed
DMART,2015-03,+,-,+,Mixed
DMART,2016-03,+,-,+,Mixed
DMART,2017-03,+,-,+,Mixed
DMART,2018-03,+,+,-,Liquidating Assets
DMART,2019-03,+,-,+,Mixed
DMART,2020-03,+,-,+,Mixed
DMART,2021-03,+,-,-,Shareholder Returns
DMART,2022-03,+,-,-,Reinvestor
DMART,2023-03,+,-,-,Shareholder Returns
DMART,2024-03,+,-,-,Shareholder Returns
DRREDDY,2013-03,+,-,-,Reinvestor
DRREDDY,2014-03,+,-,-,Shareholder Returns
DRREDDY,2015-03,+,-,-,Shareholder Returns
DRREDDY,2016-03,+,-,-,Shareholder Returns
DRREDDY,2017-03,+,-,-,Shareholder Returns
DRREDDY,2018-03,+,-,-,Shareholder Returns
DRREDDY,2019-03,+,-,-,Shareholder Returns
DRREDDY,2020-03,+,-,-,Shareholder Returns
DRREDDY,2021-03,+,-,-,Shareholder Returns
DRREDDY,2022-03,+,-,-,Shareholder Returns
DRREDDY,2023-03,+,-,-,Shareholder Returns
DRREDDY,2024-03,+,-,-,Reinvestor
EICHERMOT,2012-12,+,-,-,Shareholder Returns
EICHERMOT,2013-12,+,-,-,Shareholder Returns
EICHERMOT,2014-12,+,-,-,Shareholder Returns
EICHERMOT,2016-03,+,-,-,Shareholder Returns
EICHERMOT,2017-03,+,-,+,Mixed
EICHERMOT,2018-03,+,-,-,Shareholder Returns
EICHERMOT,2019-03,+,-,-,Reinvestor
EICHERMOT,2020-03,+,-,-,Reinvestor
EICHERMOT,2021-03,+,-,-,Shareholder Returns
EICHERMOT,2022-03,+,-,-,Reinvestor
EICHERMOT,2023-03,+,-,-,Reinvestor
EICHERMOT,2024-03,+,-,-,Reinvestor
GAIL,2013-03,+,-,+,Mixed
GAIL,2014-03,+,-,-,Reinvestor
GAIL,2015-03,+,-,-,Shareholder Returns
GAIL,2016-03,+,-,-,Shareholder Returns
GAIL,2017-03,+,-,-,Shareholder Returns
GAIL,2018-03,+,-,-,Shareholder Returns
GAIL,2019-03,+,-,-,Shareholder Returns
GAIL,2020-03,+,-,+,Mixed
GAIL,2021-03,+,-,-,Shareholder Returns
GAIL,2022-03,+,-,-,Reinvestor
GAIL,2023-03,+,-,+,Mixed
GAIL,2024-03,+,-,-,Shareholder Returns
GODREJCP,2013-03,+,-,+,Mixed
GODREJCP,2014-03,+,-,-,Shareholder Returns
GODREJCP,2015-03,+,-,-,Shareholder Returns
GODREJCP,2016-03,+,-,-,Shareholder Returns
GODREJCP,2017-03,+,-,+,Mixed
GODREJCP,2018-03,+,-,-,Shareholder Returns
GODREJCP,2019-03,+,+,-,Liquidating Assets
GODREJCP,2020-03,+,-,-,Shareholder Returns
GODREJCP,2021-03,+,-,-,Shareholder Returns
GODREJCP,2022-03,+,-,-,Reinvestor
GODREJCP,2023-03,+,-,-,Shareholder Returns
GODREJCP,2024-03,+,-,+,Mixed
GRASIM,2013-03,+,-,+,Mixed
GRASIM,2014-03,+,-,-,Shareholder Returns
GRASIM,2015-03,+,-,-,Shareholder Returns
GRASIM,2016-03,+,-,-,Shareholder Returns
GRASIM,2017-03,+,-,-,Shareholder Returns
GRASIM,2018-03,-,+,+,Distress Signal
GRASIM,2019-03,-,-,+,Growth Funded by Debt
GRASIM,2020-03,+,-,-,Shareholder Returns
GRASIM,2021-03,+,-,-,Shareholder Returns
GRASIM,2022-03,+,-,-,Reinvestor
GRASIM,2023-03,-,-,+,Growth Funded by Debt
GRASIM,2024-03,-,-,+,Growth Funded by Debt
HAL,2017-03,-,+,-,Mixed
HAL,2018-03,-,+,-,Mixed
HAL,2019-03,-,+,+,Distress Signal
HAL,2020-03,+,-,+,Mixed
HAL,2021-03,+,-,-,Shareholder Returns
HAL,2022-03,+,-,-,Shareholder Returns
HAL,2023-03,+,-,-,Shareholder Returns
HAL,2024-03,+,-,-,Shareholder Returns
HAVELLS,2013-03,+,-,-,Shareholder Returns
HAVELLS,2014-03,+,-,-,Shareholder Returns
HAVELLS,2015-03,+,-,-,Shareholder Returns
HAVELLS,2016-03,+,-,-,Reinvestor
HAVELLS,2017-03,+,-,-,Shareholder Returns
HAVELLS,2018-03,+,-,-,Shareholder Returns
HAVELLS,2019-03,+,+,-,Liquidating Assets
HAVELLS,2020-03,+,-,-,Shareholder Returns
HAVELLS,2021-03,+,-,+,Mixed
HAVELLS,2022-03,+,-,-,Shareholder Returns
HAVELLS,2023-03,+,+,-,Liquidating Assets
HAVELLS,2024-03,+,-,-,Shareholder Returns
HCLTECH,2013-06,+,-,-,Shareholder Returns
HCLTECH,2014-06,+,-,-,Reinvestor
HCLTECH,2015-06,+,-,-,Reinvestor
HCLTECH,2016-03,+,-,-,Reinvestor
HCLTECH,2017-03,+,-,-,Shareholder Returns
HCLTECH,2018-03,+,-,-,Reinvestor
HCLTECH,2019-03,+,-,-,Reinvestor
HCLTECH,2020-03,+,-,-,Shareholder Returns
HCLTECH,2021-03,+,-,-,Shareholder Returns
HCLTECH,2022-03,+,+,-,Liquidating Assets
HCLTECH,2023-03,+,-,-,Shareholder Returns
HCLTECH,2024-03,+,-,-,Shareholder Returns
HDFCBANK,2013-03,-,-,+,Growth Funded by Debt
HDFCBANK,2014-03,+,-,+,Mixed
HDFCBANK,2015-03,-,-,+,Growth Funded by Debt
HDFCBANK,2016-03,-,-,+,Growth Funded by Debt
HDFCBANK,2017-03,+,-,-,Shareholder Returns
HDFCBANK,2018-03,+,-,+,Mixed
HDFCBANK,2019-03,-,-,+,Growth Funded by Debt
HDFCBANK,2020-03,-,-,+,Growth Funded by Debt
HDFCBANK,2021-03,+,-,-,Shareholder Returns
HDFCBANK,2022-03,-,-,+,Growth Funded by Debt
HDFCBANK,2023-03,+,-,+,Mixed
HDFCBANK,2024-03,+,+,-,Liquidating Assets
HDFCLIFE,2015-03,+,-,-,Shareholder Returns
HDFCLIFE,2016-03,+,-,-,Shareholder Returns
HDFCLIFE,2017-03,+,-,-,Shareholder Returns
HDFCLIFE,2018-03,+,-,-,Shareholder Returns
HDFCLIFE,2019-03,+,-,-,Shareholder Returns
HDFCLIFE,2020-03,+,-,+,Mixed
HDFCLIFE,2021-03,+,-,+,Mixed
HDFCLIFE,2022-03,+,-,-,Shareholder Returns
HDFCLIFE,2023-03,+,-,+,Mixed
HDFCLIFE,2024-03,+,-,-,Shareholder Returns
HEROMOTOCO,2014-03,+,-,-,Shareholder Returns
HEROMOTOCO,2015-03,+,+,-,Liquidating Assets
HEROMOTOCO,2016-03,+,-,-,Shareholder Returns
HEROMOTOCO,2017-03,+,-,-,Shareholder Returns
HEROMOTOCO,2018-03,+,-,-,Shareholder Returns
HEROMOTOCO,2019-03,+,+,-,Liquidating Assets
HEROMOTOCO,2020-03,+,-,-,Shareholder Returns
HEROMOTOCO,2021-03,+,-,-,Shareholder Returns
HEROMOTOCO,2022-03,+,-,-,Reinvestor
HEROMOTOCO,2023-03,+,-,-,Reinvestor
HEROMOTOCO,2024-03,+,-,-,Shareholder Returns
HINDALCO,2013-03,+,-,+,Mixed
HINDALCO,2014-03,+,-,+,Mixed
HINDALCO,2015-03,+,-,-,Shareholder Returns
HINDALCO,2016-03,+,-,-,Reinvestor
HINDALCO,2017-03,+,-,-,Shareholder Returns
HINDALCO,2018-03,+,+,-,Liquidating Assets
HINDALCO,2019-03,+,-,-,Shareholder Returns
HINDALCO,2020-03,+,-,+,Mixed
HINDALCO,2021-03,+,-,-,Shareholder Returns
HINDALCO,2022-03,+,-,-,Shareholder Returns
HINDALCO,2023-03,+,-,-,Shareholder Returns
HINDALCO,2024-03,+,-,-,Shareholder Returns
HINDUNILVR,2013-03,+,+,-,Liquidating Assets
HINDUNILVR,2014-03,+,-,-,Reinvestor
HINDUNILVR,2015-03,+,+,-,Liquidating Assets
HINDUNILVR,2016-03,+,-,-,Shareholder Returns
HINDUNILVR,2017-03,+,-,-,Shareholder Returns
HINDUNILVR,2018-03,+,-,-,Shareholder Returns
HINDUNILVR,2019-03,+,-,-,Reinvestor
HINDUNILVR,2020-03,+,+,-,Liquidating Assets
HINDUNILVR,2021-03,+,-,-,Shareholder Returns
HINDUNILVR,2022-03,+,-,-,Shareholder Returns
HINDUNILVR,2023-03,+,-,-,Reinvestor
HINDUNILVR,2024-03,+,-,-,Shareholder Returns
ICICIBANK,2013-03,+,-,+,Mixed
ICICIBANK,2014-03,+,-,+,Mixed
ICICIBANK,2015-03,-,-,+,Growth Funded by Debt
ICICIBANK,2016-03,+,-,+,Mixed
ICICIBANK,2017-03,+,-,-,Shareholder Returns
ICICIBANK,2018-03,+,-,+,Mixed
ICICIBANK,2019-03,+,-,-,Shareholder Returns
ICICIBANK,2020-03,+,-,+,Mixed
ICICIBANK,2021-03,+,-,-,Shareholder Returns
ICICIBANK,2022-03,+,-,+,Mixed
ICICIBANK,2023-03,-,-,+,Growth Funded by Debt
ICICIBANK,2024-03,+,-,+,Mixed
ICICIGI,2013-03,+,-,+,Mixed
ICICIGI,2014-03,+,-,+,Mixed
ICICIGI,2015-03,-,+,-,Mixed
ICICIGI,2016-03,+,-,-,Shareholder Returns
ICICIGI,2017-03,+,-,+,Mixed
ICICIGI,2018-03,+,-,-,Shareholder Returns
ICICIGI,2019-03,+,-,-,Shareholder Returns
ICICIGI,2020-03,+,-,-,Shareholder Returns
ICICIGI,2021-03,+,-,-,Shareholder Returns
ICICIGI,2022-03,+,+,-,Liquidating Assets
ICICIGI,2023-03,+,-,-,Shareholder Returns
ICICIGI,2024-03,+,-,-,Shareholder Returns
ICICIPRULI,2013-03,-,+,-,Mixed
ICICIPRULI,2014-03,-,+,-,Mixed
ICICIPRULI,2015-03,+,-,-,Reinvestor
ICICIPRULI,2016-03,+,+,-,Liquidating Assets
ICICIPRULI,2017-03,+,-,-,Shareholder Returns
ICICIPRULI,2018-03,+,-,-,Shareholder Returns
ICICIPRULI,2019-03,+,-,-,Shareholder Returns
ICICIPRULI,2020-03,+,-,-,Shareholder Returns
ICICIPRULI,2021-03,+,-,+,Mixed
ICICIPRULI,2022-03,+,-,-,Shareholder Returns
ICICIPRULI,2023-03,+,-,-,Reinvestor
ICICIPRULI,2024-03,-,+,-,Mixed
INDUSINDBK,2013-03,-,-,+,Growth Funded by Debt
